gene_id,Apoly_Dec_1,Apoly_Dec_2,Apoly_Dec_3,Apoly_Dec_4,Apoly_Dec_5,Apoly_Feb_1,Apoly_Feb_2,Apoly_Feb_3,Apoly_Feb_4,Apoly_Feb_5
gene-abce1|abce1,190,300,652,434,616,566,1131,1407,1558,1326
gene-LOC110970817|LOC110970817,66,47,18,31,49,86,104,83,120,93
gene-LOC110962974|LOC110962974,37,8,42,57,41,9,59,47,42,47
gene-prkaa1|prkaa1,160,157,255,197,238,194,212,162,151,182
gene-muc15|muc15,0,0,0,0,0,0,0,0,0,0
gene-LOC110970693|LOC110970693,0,0,0,0,0,0,0,0,0,0
gene-LOC110961370,0,0,4,0,0,0,0,0,0,0
gene-LOC110962226|LOC110962226,15,15,10,6,10,0,0,0,0,0
gene-LOC110948054|LOC110948054,1525,1659,1583,1377,1613,715,983,1136,832,637
gene-ifi35|ifi35,146,70,106,80,110,33,33,33,50,40
gene-LOC110970295|LOC110970295,0,0,0,0,0,0,0,0,0,0
gene-LOC110969638|LOC110969638,5,2,0,0,0,0,2,4,4,0
gene-LOC110959701|LOC110959701,0,2,0,3,4,0,0,0,6,5
gene-LOC110956490|LOC110956490,17,8,9,11,11,7,4,4,7,5
gene-gorab|gorab,13,11,16,24,36,8,19,68,32,39
gene-LOC110965878,0,0,0,0,0,0,0,0,0,0
gene-cunh10orf76|cunh10orf76,61,95,63,54,69,31,37,108,76,70
gene-LOC110970893|LOC110970893,30,40,57,27,30,14,19,13,16,11
gene-cyhr1|cyhr1,32,40,27,35,31,13,7,22,8,8
gene-LOC110967962|LOC110967962,28,51,39,63,45,41,21,44,30,48
gene-LOC110970828|LOC110970828,0,0,0,0,0,0,3,0,0,0
gene-trnap-cgg-10|trnap-cgg,0,0,0,0,0,0,0,0,0,0
gene-LOC110945739|LOC110945739,0,0,0,0,0,0,0,0,0,0
gene-LOC110958611|LOC110958611,8,11,12,3,16,9,0,6,9,4
gene-rhobtb2|rhobtb2,15,5,10,11,14,7,0,8,0,0
gene-LOC110971446|LOC110971446,2,0,0,0,0,2,0,0,0,0
gene-LOC110950451|LOC110950451,3,2,0,2,0,0,2,2,0,0
gene-selenop|selenop,57890,31152,32345,44296,30611,12130,23432,11191,13754,12485
gene-actr10|actr10,133,173,131,139,153,35,54,107,92,66
gene-LOC110960433|LOC110960433,0,0,0,0,0,0,0,0,0,0
gene-virma|virma,67,76,75,97,116,66,52,151,88,102
gene-LOC110966466|LOC110966466,93,237,658,240,492,599,1061,1612,1747,1457
gene-LOC110953851|LOC110953851,0,0,0,0,0,0,1,2,3,2
gene-LOC110965936|LOC110965936,0,2,0,2,0,0,0,0,0,0
gene-slc2a4|slc2a4,15,21,27,37,33,30,11,17,13,6
gene-brpf1|brpf1,24,32,18,32,49,30,13,33,33,35
gene-itfg2|itfg2,34,22,18,25,51,61,22,13,26,19
gene-LOC110946452|LOC110946452,0,0,0,0,0,2,0,0,2,0
gene-trnaa-ugc-14|trnaa-ugc,0,0,0,0,0,0,0,0,0,0
gene-LOC110946426|LOC110946426,64,108,44,51,24,0,34,36,17,17
gene-eri2|eri2,0,3,8,0,5,0,0,0,10,0
gene-LOC110962500|LOC110962500,0,0,0,0,0,0,0,0,0,0
gene-med1|med1,36,51,68,45,49,28,27,63,57,44
gene-copa|copa,443,477,782,484,699,389,1028,1256,1513,1221
gene-LOC110967873|LOC110967873,0,0,0,0,0,0,0,0,0,0
gene-znf131|znf131,54,60,95,82,96,86,100,122,119,90
gene-lsm7|lsm7,37,44,18,63,58,24,33,76,33,34
gene-LOC110966310|LOC110966310,0,0,0,0,0,0,0,0,0,0
gene-tgm2|tgm2,18,23,16,15,9,12,8,0,4,3
gene-LOC110972673|LOC110972673,0,0,0,0,0,0,0,0,0,0
gene-LOC110970351|LOC110970351,0,0,0,0,0,0,0,0,0,0
gene-pgap2|pgap2,33,44,36,39,41,20,27,48,40,36
